"","sciname","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","Vulnerability","Length","Importance","PriceCateg","PD50"
"6550","Meuschenia hippocrepis","short and / or deep","demersal",NA,120,50.55,51,NA,"unknown",0.5039
"6551","Nelusetta ayraud","short and / or deep","demersal",0,360,56.07,100,"commercial","unknown",1
"6552","Acanthaluteres vittiger","short and / or deep","demersal",1,40,36.45,35,NA,"unknown",0.625
"6553","Scobinichthys granulatus","short and / or deep","reef-associated",NA,NA,34.38,30,NA,"unknown",1
"6554","Thamnaconus degeni","short and / or deep","demersal",NA,70,32.74,28,NA,"unknown",0.5001
"6555","Anoplocapros amygdaloides","short and / or deep","demersal",5,100,16,30,NA,"unknown",0.6252
"6556","Anoplocapros inermis","short and / or deep","demersal",10,300,19.53,37,NA,"unknown",0.6252
"6557","Anoplocapros lenticularis","short and / or deep","demersal",10,220,17.57,33,NA,"unknown",0.6252
"6558","Aracana aurita","short and / or deep","demersal",10,200,10,20,NA,"unknown",0.7502
"6559","Aracana ornata","short and / or deep","demersal",5,60,10,15,NA,"unknown",0.7502
"6560","Caprichthys gymnura","short and / or deep","demersal",40,200,10,11,NA,"unknown",1.0002
"6561","Capropygia unistriata","short and / or deep","demersal",60,200,10,12,NA,"unknown",1.0002
"6562","Arothron firmamentum","short and / or deep","demersal",10,360,35.5,35,NA,"very high",0.5
"6563","Omegophora armilla","short and / or deep","demersal",NA,146,22.28,25,"of no interest",NA,0.75
"6564","Torquigener pleurogramma","fusiform / normal","demersal",1,30,18.07,21,"of no interest",NA,0.5
"6565","Allomycterus pilatus","short and / or deep","demersal",40,270,40.85,50,NA,"unknown",1
"6566","Cyttus novaezealandiae","short and / or deep","demersal",20,450,29.35,40,NA,"unknown",0.75
"6567","Callanthias allporti","fusiform / normal","reef-associated",20,100,16.95,30,NA,"unknown",0.5039
"6568","Hyporhamphus melanochir","elongated","pelagic-neritic",0,20,28.1,52,"commercial","unknown",0.5
"6569","Paraplesiops meleagris","elongated","reef-associated",NA,NA,41.41,33,"commercial","unknown",0.5312
"6570","Acanthopagrus butcheri","fusiform / normal","demersal",NA,NA,38.57,60,"commercial","very high",0.5
"6571","Girella zebra","short and / or deep","reef-associated",NA,NA,33.69,34,"commercial","unknown",0.5
"6572","Chironemus georgianus","fusiform / normal","demersal",NA,NA,10,20,"commercial","unknown",0.5312
"6573","Arripis truttacea","fusiform / normal","benthopelagic",0,80,47.96,96,"commercial","unknown",0.625
"6574","Scorpis georgiana","short and / or deep","reef-associated",NA,NA,33.37,33,"minor commercial","unknown",0.5312
"6575","Hypoplectrodes nigroruber","fusiform / normal","reef-associated",NA,NA,32.04,30,"commercial","very high",0.5039
"6576","Ecsenius axelrodi","elongated","reef-associated",3,36,12.01,5.8,NA,"unknown",0.5
"6577","Stellifer stellifer","fusiform / normal","demersal",1,35,17.32,21,NA,"medium",0.5
"6578","Gymnothorax monostigma","eel-like","reef-associated",NA,NA,45.56,65,NA,"medium",0.5
"6579","Mugil trichodon","fusiform / normal","pelagic-neritic",NA,NA,33.32,46,NA,"medium",0.5
"6580","Hoplostethus latus","short and / or deep","bathypelagic",146,586,68.99,53,NA,"low",0.5
"6581","Nansenia ardesiaca","elongated","bathydemersal",260,553,14.4,20,"of no interest","unknown",0.5
"6582","Apogonichthyoides opercularis","fusiform / normal","reef-associated",NA,NA,10,7,NA,"high",0.5
"6583","Epigonus macrops","elongated","bathydemersal",550,1300,39.37,21.2,NA,"low",0.5
"6584","Foa fo","short and / or deep","reef-associated",0,82,10,3.5,NA,"high",0.5039
"6585","Gymnapogon annona","elongated","benthopelagic",NA,NA,10,5,NA,"high",0.5039
"6586","Cercamia eremia","short and / or deep","reef-associated",2,40,10,5,NA,"high",0.75
"6587","Rosenblattia robusta","fusiform / normal","bathypelagic",700,2000,22.69,10,NA,"unknown",1
"6588","Jaydia argyrogaster","short and / or deep","demersal",18,86,10,6,NA,"high",0.5
"6589","Siphamia cephalotes","short and / or deep","benthopelagic",0,7,10,5,NA,"high",0.5
"6590","Siphamia cuneiceps",NA,"benthopelagic",NA,NA,10,NA,NA,"high",0.5
"6591","Siphamia majimai","short and / or deep","reef-associated",1,18,10,3.5,NA,"high",0.5
"6592","Siphamia tubulata",NA,"benthopelagic",25,30,10,NA,NA,"high",0.5
"6593","Vincentia badia",NA,"reef-associated",NA,1,11.03,10,NA,"high",0.5312
"6594","Vincentia conspersa",NA,"reef-associated",0,67,15.01,14,NA,"high",0.5312
"6595","Vincentia punctata","fusiform / normal","reef-associated",0,18,15.77,15,NA,"high",0.5312
"6596","Amniataba caudavittata","fusiform / normal","benthopelagic",NA,NA,29.39,30,NA,"unknown",0.625
"6597","Helotes sexlineatus","fusiform / normal","benthopelagic",NA,NA,16.49,15,NA,"unknown",1
"6598","Glaucosoma hebraicum","fusiform / normal","reef-associated",1,200,64.15,122,"commercial","unknown",0.625
"6599","Glaucosoma scapulare","short and / or deep","demersal",NA,90,55.59,70,"commercial","unknown",0.625
"6600","Assessor flavissimus","elongated","reef-associated",5,20,12.47,6,NA,"unknown",0.625
"6601","Branchiostegus serratus","elongated","demersal",110,150,40.45,28.5,NA,"very high",0.5
"6602","Branchiostegus wardi","elongated","demersal",100,250,49.46,40,NA,"very high",0.5
"6603","Paraplesiops poweri","fusiform / normal","reef-associated",NA,NA,21.72,8.3,NA,"unknown",0.5312
"6604","Plesiops cephalotaenia","elongated","reef-associated",0,12,15.39,7.7,NA,"unknown",0.5
"6605","Plesiops corallicola","elongated","reef-associated",1,23,29.01,18,NA,"unknown",0.5
"6606","Steeneichthys plesiopsus","elongated","reef-associated",NA,35,10,3,NA,"unknown",0.75
"6607","Trachinops brauni","elongated","reef-associated",3,10,16.21,8,NA,"unknown",0.5625
"6608","Aporops bilinearis","fusiform / normal","reef-associated",1,15,17.15,9.9,NA,"very high",1
"6609","Labracinus lineatus","fusiform / normal","reef-associated",NA,NA,13.16,25,NA,"unknown",0.625
"6610","Pseudochromis flammicauda","elongated","reef-associated",3,10,10,5.5,NA,"unknown",0.5
"6611","Pseudochromis jamesi","elongated","reef-associated",1,18,10,5.5,NA,"unknown",0.5
"6612","Assiculus punctatus","fusiform / normal","reef-associated",NA,30,10,8,NA,"unknown",1
"6613","Ogilbyina queenslandiae","fusiform / normal","reef-associated",10,20,10,15,NA,"unknown",0.625
"6614","Pseudochromis wilsoni","fusiform / normal","reef-associated",NA,NA,10,8,NA,"unknown",0.5
"6615","Pseudoplesiops howensis","elongated","reef-associated",20,25,10,2.8,NA,"unknown",0.502
"6616","Pseudoplesiops revellei","fusiform / normal","reef-associated",3,20,10,3.5,NA,"unknown",0.502
"6617","Atherinomorus insularum","elongated","pelagic-neritic",0,2,30.21,9.8,"of no interest",NA,0.5005
"6618","Sphyraenops bairdianus","elongated","bathypelagic",200,1750,38.52,NA,NA,"unknown",1
"6619","Acanthistius ocellatus","fusiform / normal","reef-associated",NA,NA,46.57,45,NA,"very high",0.5005
"6620","Acanthistius serratus","fusiform / normal","reef-associated",NA,NA,49.19,50,NA,"very high",0.5005
"6621","Chelidoperca margaritifera",NA,"demersal",NA,118,23.79,NA,NA,"very high",0.5039
"6622","Pseudanthias engelhardi","fusiform / normal","reef-associated",37,70,14.62,10,NA,"very high",0.5
"6623","Caprodon longimanus","fusiform / normal","reef-associated",0,400,34.14,55,NA,"very high",0.625
"6624","Hypoplectrodes jamesoni","fusiform / normal","demersal",10,30,16.74,12,NA,"very high",0.5039
"6625","Hypoplectrodes maccullochi","fusiform / normal","reef-associated",1,50,42.91,45,NA,"very high",0.5039
"6626","Hypoplectrodes wilsoni","fusiform / normal","reef-associated",5,22,24.95,20,NA,"very high",0.5039
"6627","Craterocephalus capreoli","elongated","demersal",NA,NA,24.35,8.5,"of no interest",NA,0.5
"6628","Plectranthias alleni",NA,"demersal",62,256,11.53,6.3,NA,"very high",0.5
"6629","Plectranthias maculicauda",NA,"demersal",110,155,14.62,8.3,NA,"very high",0.5
"6630","Plectranthias nanus","fusiform / normal","reef-associated",6,65,10,3.98,NA,"very high",0.5
"6631","Ambassis jacksoniensis",NA,"demersal",0,6,10,7,NA,"low",0.5
"6632","Ambassis nalua","fusiform / normal","demersal",NA,NA,13.79,12.5,NA,"low",0.5
"6633","Ambassis vachellii","fusiform / normal","demersal",NA,NA,10,6.5,NA,"low",0.5
"6634","Congiopodus leucopaecilus",NA,"demersal",22,222,23.71,35,"of no interest","unknown",0.5195
"6635","Hoplichthys citrinus","elongated","demersal",183,490,10.98,21.5,NA,"unknown",0.5002
"6636","Hoplichthys filamentosus",NA,"demersal",NA,NA,26.6,30,NA,"unknown",0.5002
"6637","Hoplichthys ogilbyi",NA,"demersal",NA,NA,13.2,NA,NA,"unknown",0.5002
"6638","Nemipterus aurora","fusiform / normal","demersal",56,90,25.28,20,"minor commercial","high",0.5
"6639","Gibberichthys latifrons","fusiform / normal","bathydemersal",750,2000,10,13,"of no interest","unknown",1
"6640","Cociella hutchinsi",NA,"demersal",39,108,28.64,30,"of no interest",NA,0.5312
"6641","Nematops macrochirus","short and / or deep","bathydemersal",218,438,25.42,15,"of no interest",NA,0.5625
"6642","Plagiopsetta glossa","short and / or deep","demersal",65,278,10,19,"of no interest",NA,0.625
"6643","Poecilopsetta plinthus","short and / or deep","demersal",60,400,29.33,19,"of no interest",NA,0.5
"6644","Samariscus sunieri","short and / or deep","demersal",118,276,10,13,"of no interest",NA,0.5
"6645","Cociella punctata","elongated","reef-associated",10,300,31.38,35,"minor commercial","high",0.5312
"6646","Cymbacephalus staigeri","elongated","demersal",NA,46,36.98,50,"subsistence fisheries","high",0.5625
"6647","Onigocia pedimacula","elongated","demersal",15,110,12.93,11,"of no interest",NA,0.5039
"6648","Rogadius pristiger","elongated","demersal",15,95,36.98,50,NA,"high",0.5078
"6649","Rogadius serratus","elongated","reef-associated",11,45,24.69,24,"of no interest",NA,0.5078
"6650","Tripodichthys angustifrons","short and / or deep","demersal",NA,15,28.88,20,"subsistence fisheries","unknown",0.6328
"6651","Tripodichthys oxycephalus","short and / or deep","demersal",NA,35,28.88,20,"minor commercial","unknown",0.6328
"6652","Johnius australis",NA,"benthopelagic",NA,NA,24.95,23,"minor commercial","medium",0.5
"6653","Paraheminodus murrayi","fusiform / normal","bathydemersal",360,710,42.82,26.5,"of no interest","unknown",0.5625
"6654","Johnius carouna","fusiform / normal","benthopelagic",NA,NA,26.37,25,"minor commercial","medium",0.5
"6655","Craterocephalus mugiloides","elongated","pelagic-neritic",NA,NA,22.18,7,"of no interest",NA,0.5
"6656","Pterygotrigla multiocellata","fusiform / normal","bathydemersal",178,379,38.01,24.1,NA,"very high",0.5
"6657","Pterygotrigla macrorhynchus","fusiform / normal","bathydemersal",300,500,28.13,20,NA,"very high",0.5
"6658","Sunagocia carbunculus","elongated","demersal",NA,NA,33.41,40,"of no interest",NA,0.5625
"6659","Thysanophrys celebica","elongated","demersal",10,45,22.36,20,"of no interest",NA,0.501
"6660","Johnius macrorhynus","fusiform / normal","benthopelagic",NA,NA,22.03,30,"minor commercial","medium",0.5
"6661","Pterygotrigla hoplites","fusiform / normal","bathydemersal",265,512,23.43,10.8,NA,"very high",0.5
"6662","Johnius weberi","fusiform / normal","benthopelagic",NA,NA,14.62,14,"minor commercial","medium",0.5
"6663","Johnius borneensis","fusiform / normal","benthopelagic",0,132,21.94,34.8,"minor commercial","medium",0.5
"6664","Pseudorhombus tenuirastrum","short and / or deep","demersal",10,20,34.49,25,"commercial","very high",0.5
"6665","Crossorhombus kobensis","short and / or deep","demersal",50,275,25.54,12,"of no interest",NA,0.5312
"6666","Callanthias australis","fusiform / normal","reef-associated",15,365,43.61,49,NA,"unknown",0.5039
"6667","Centroberyx druzhinini","fusiform / normal","benthopelagic",128,200,36.62,23,"of no interest","unknown",0.5088
"6668","Cheilopogon abei","elongated","pelagic-neritic",0,20,14.78,22,"of no interest",NA,0.5
"6669","Cheilopogon arcticeps","elongated","pelagic-neritic",0,20,13.94,21,"of no interest",NA,0.5
"6670","Ophioblennius macclurei","fusiform / normal","reef-associated",NA,NA,23.8,12.2,"of no interest","unknown",0.5312
"6671","Alepes apercna","fusiform / normal","demersal",5,80,23.32,29.5,"commercial","medium",0.5312
"6672","Cheilopogon intermedius","elongated","pelagic-neritic",0,20,14.78,22,"minor commercial","medium",0.5
"6673","Cheilopogon katoptron","elongated","pelagic-neritic",0,20,11.01,18,"minor commercial","medium",0.5
"6674","Cheilopogon spilopterus","elongated","pelagic-neritic",0,20,16.97,25,"minor commercial","medium",0.5
"6675","Hydrolagus lemures","elongated","bathydemersal",146,510,50.69,88,"of potential interest","high",0.5
"6676","Cypselurus hexazona","elongated","pelagic-neritic",0,20,11.01,18,"of no interest",NA,0.5002
"6677","Cypselurus oligolepis","elongated","pelagic-neritic",0,20,15.1,27.7,"minor commercial","medium",0.5002
"6678","Rhynchobatus australiae","elongated","demersal",0,60,80.94,300,"commercial","medium",0.5049
"6679","Prognichthys brevipinnis","elongated","pelagic-neritic",0,20,12.07,19,"minor commercial","medium",0.5156
"6680","Lopholatilus villarii","fusiform / normal","demersal",NA,NA,67.17,107,NA,"very high",0.75
"6681","Aptychotrema rostrata","other","demersal",20,60,60.44,100,"commercial","medium",0.625
"6682","Neotrygon annotata","other","demersal",10,62,37.75,45,"of no interest",NA,0.5312
"6683","Dasyatis bennettii","other","demersal",1,40,83.1,50,"minor commercial","low",0.501
"6684","Neotrygon leylandi","other","demersal",5,80,43,25,"of no interest",NA,0.5312
"6685","Dasyatis microps","other","benthopelagic",NA,NA,86.25,320,NA,"low",1
"6686","Gymnura australis","other","demersal",0,50,47.29,73,"minor commercial","medium",0.5001
"6687","Dipturus australis","other","demersal",50,180,39.99,50,NA,"medium",0.502
"6688","Dipturus tengu","other","demersal",45,165,58.46,100,NA,"medium",0.5
"6689","Okamejei acutispina","other","demersal",30,118,54.89,NA,NA,"medium",0.5001
"6690","Okamejei boesemani","other","demersal",70,90,41.88,55,NA,"medium",0.5001
"6691","Okamejei kenojei","other","demersal",20,120,48.83,57,"commercial","medium",0.5001
"6692","Dipturus polyommata","other","bathydemersal",140,310,30.69,36,NA,"medium",0.502
"6693","Johnius novaeguineae","fusiform / normal","benthopelagic",NA,NA,10,9,"of no interest",NA,0.5
"6694","Narke japonica","other","reef-associated",12,23,20.91,40,"minor commercial","unknown",0.6252
"6695","Trygonoptera testacea","other","demersal",NA,135,66.59,47,NA,"medium",0.5156
"6696","Urolophus bucculentus","other","demersal",100,230,68.47,80,"subsistence fisheries","medium",0.5
"6697","Urolophus sufflavus","other","demersal",45,300,64.34,42,NA,"medium",0.5
"6698","Urolophus viridis","other","demersal",20,200,64.77,44,NA,"medium",0.5
"6699","Narcine brunnea","other","demersal",NA,NA,11.3,22,NA,"unknown",0.5
"6700","Narcine lingula","other","demersal",NA,NA,17.57,33,NA,"unknown",0.5
"6701","Johnius plagiostoma","fusiform / normal","benthopelagic",NA,NA,10.53,10,"of no interest",NA,0.5
"6702","Nibea squamosa","fusiform / normal","benthopelagic",NA,NA,49.44,65,"commercial","medium",0.501
"6703","Hypoatherina tropicalis","elongated","pelagic-neritic",0,NA,30.17,12.5,NA,"medium",0.5001
"6704","Hypoatherina valenciennei","elongated","pelagic-neritic",NA,NA,29.46,12,"minor commercial","medium",0.5001
"6705","Lycodes squamiventer","eel-like","bathydemersal",357,1808,34.56,26,NA,"high",0.5
"6706","Lycodes frigidus",NA,"bathydemersal",475,3000,61.92,69,NA,"high",0.5
"6707","Lycenchelys kolthoffi","eel-like","bathydemersal",202,930,39.54,23.2,NA,"unknown",0.5
"6708","Lycenchelys alba",NA,"bathydemersal",NA,3365,42.9,26.7,NA,"unknown",0.5
"6709","Lycenchelys muraena","eel-like","bathydemersal",350,1700,39.33,22.6,"of no interest","unknown",0.5
"6710","Himantura gerrardi","other (see remarks)","demersal",NA,50,71,200,"commercial","low",0.5078
"6711","Himantura toshi","other (see remarks)","demersal",10,140,66.65,86,"minor commercial","low",0.5078
"6712","Liparis fabricii","fusiform / normal","bathydemersal",12,1800,24.63,20,NA,"unknown",0.5
"6713","Careproctus reinhardti","fusiform / normal","bathydemersal",75,1750,31.32,30,"of no interest","unknown",0.5
"6714","Arnoglossus brunneus","short and / or deep","bathydemersal",267,292,31.53,18.3,"of no interest",NA,0.5
"6715","Arnoglossus fisoni","short and / or deep","demersal",26,50,26.76,13,"of no interest",NA,0.5
"6716","Arnoglossus tenuis","short and / or deep","demersal",80,100,25.54,12,"of no interest",NA,0.5
"6717","Astronesthes fedorovi",NA,"pelagic-oceanic",0,500,25.62,NA,NA,"unknown",0.5
"6718","Iso rhothophilus","elongated","pelagic-neritic",NA,NA,10,7.5,"of no interest","unknown",0.5625
"6719","Engyprosopon bleekeri","short and / or deep","demersal",0,46,24.92,8.4,NA,"very high",0.5
"6720","Paraliparis bathybius","elongated","bathydemersal",20,4009,35.58,25.3,NA,"unknown",0.5
"6721","Asterorhombus cocosensis","short and / or deep","demersal",1,30,30.91,11.97,NA,"very high",0.625
"6722","Paraliparis garmani","elongated","bathydemersal",225,1000,24.73,14.2,NA,"unknown",0.5
"6723","Paraliparis hystrix",NA,"bathydemersal",250,1150,26.1,NA,NA,"unknown",0.5
"6724","Engyprosopon latifrons","short and / or deep","demersal",37,68,24.37,8,NA,"very high",0.5
"6725","Laeops clarus","short and / or deep","bathydemersal",296,1025,29.33,15.5,"of no interest",NA,0.5001
"6726","Japonolaeops dentatus","short and / or deep","bathydemersal",300,500,39.53,20,"commercial","very high",1
"6727","Engyprosopon xystrias","short and / or deep","demersal",30,240,35.52,16,NA,"very high",0.5
"6728","Engyprosopon septempes","short and / or deep","demersal",44,88,22.31,7.1,NA,"very high",0.5
"6729","Engyprosopon rostratum","short and / or deep","bathydemersal",41,300,21.96,7,NA,"very high",0.5
"6730","Engyprosopon mogkii","short and / or deep","demersal",2,189,29.59,11,NA,"very high",0.5
"6731","Parabothus coarctatus","short and / or deep","bathydemersal",253,580,41.27,22.5,"commercial","very high",0.502
"6732","Psettina variegata","short and / or deep","demersal",62,136,27.51,9.2,NA,"very high",0.501
"6733","Tosarhombus neocaledonicus","short and / or deep","bathydemersal",169,325,37.52,18.3,"of no interest",NA,0.5156
"6734","Neobythites stefanovi","eel-like","bathydemersal",335,805,17.84,16.3,NA,"medium",0.5
"6735","Champsodon omanensis","elongated","bathydemersal",135,1120,10,10.6,NA,"unknown",0.5002
"6736","Cottunculus thomsonii","elongated","bathydemersal",100,1600,35.68,43,NA,"unknown",0.5039
"6737","Naso caesius","fusiform / normal","reef-associated",15,50,45.37,45.6,NA,"medium",0.5
"6738","Trachichthys australis","short and / or deep","reef-associated",1,1557,46.23,15,"of no interest",NA,1
"6739","Hoplostethus gigas","short and / or deep","bathydemersal",237,311,71.13,52.5,NA,"low",0.5
"6740","Gymnelus retrodorsalis","elongated","demersal",8,481,24.91,14,NA,"unknown",0.5002
"6741","Lycenchelys sarsii","eel-like","bathydemersal",150,600,30.09,20,NA,"unknown",0.5
"6742","Grammonus robustus","elongated","bathydemersal",45,345,33.71,21,"of no interest","unknown",0.5005
"6743","Rhinobatos ocellatus","elongated","demersal",60,185,47.83,81,NA,"low",0.5039
"6744","Bassanago albescens","eel-like","bathydemersal",270,1700,58.7,100,"of no interest",NA,0.5625
"6745","Gnathophis capensis","eel-like","demersal",NA,NA,31.58,37,NA,"medium",0.5
"6746","Uropterygius kamar","eel-like","reef-associated",3,55,33.1,37,NA,"medium",0.5
"6747","Hoplostethus occidentalis","short and / or deep","bathypelagic",485,550,51.7,17.3,"of no interest",NA,0.5
"6748","Scolecenchelys laticaudata","eel-like","reef-associated",1,26,24.36,35,NA,"unknown",0.5
"6749","Hoplostethus japonicus","short and / or deep","bathypelagic",336,605,43.06,12.6,"of no interest",NA,0.5
"6750","Hoplostethus crassispinus","short and / or deep","bathypelagic",280,600,61.86,25.4,"of no interest",NA,0.5
"6751","Ophichthus erabo","eel-like","reef-associated",NA,155,37.97,72,NA,"unknown",0.5
"6752","Ophichthus bonaparti","eel-like","reef-associated",NA,20,36.84,75,NA,"unknown",0.5
"6753","Hoplostethus melanopterus","short and / or deep","bathypelagic",454,1500,39.15,14,NA,"low",0.5
"6754","Hoplostethus mento","short and / or deep","bathypelagic",NA,NA,36.49,12,"of no interest",NA,0.5
"6755","Diretmoides veriginae","short and / or deep","bathypelagic",340,1300,18.43,23.3,NA,"unknown",0.8125
"6756","Poromitra oscitans","fusiform / normal","bathypelagic",645,5320,43.33,8.16,"of no interest","unknown",0.5
"6757","Carcharhinus tilstoni","fusiform / normal","pelagic-neritic",0,150,69.85,200,"minor commercial","medium",0.5
"6758","Eptatretus profundus","eel-like","bathydemersal",NA,732,47.27,62,NA,"low",0.5
"6759","Paramugil georgii","fusiform / normal","demersal",NA,NA,32.96,30,NA,"medium",0.75
"6760","Lycodes vahlii","eel-like","bathydemersal",65,1200,56.31,52,"subsistence fisheries","high",0.5
"6761","Acentrogobius viridipunctatus","elongated","demersal",NA,NA,28.54,16.5,"of no interest",NA,0.5
"6762","Paramugil parmatus","fusiform / normal","demersal",NA,NA,32.96,30,NA,"medium",0.75
"6763","Awaous ocellaris","fusiform / normal","demersal",0,5,27.77,15.5,"minor commercial","very high",0.5
"6764","Chaenogobius gulosus","elongated","demersal",0,2,28.26,11.71,NA,"very high",0.75
"6765","Moringua javanica","eel-like","reef-associated",2,15,52.31,120,NA,"unknown",0.5003
"6766","Avocettina paucipora","eel-like","bathypelagic",NA,NA,28.07,55,"of no interest","unknown",0.5645
"6767","Polyacanthonotus rissoanus","eel-like","bathydemersal",500,2800,42,9.5,NA,"unknown",0.563
"6768","Argentina euchus","elongated","bathydemersal",NA,590,23.46,15,NA,"high",0.5001
"6769","Bathytroctes squamosus","fusiform / normal","bathypelagic",1000,2060,44.94,30.6,NA,"unknown",0.5005
"6770","Narcetes lloydi","elongated","bathypelagic",716,1350,59.51,50,NA,"unknown",0.5312
"6771","Holtbyrnia laticauda","elongated","bathypelagic",1140,1630,17.67,30,NA,"unknown",0.502
"6772","Astronesthes boulengeri","elongated","bathypelagic",12,4000,29.17,21,NA,"unknown",0.5
"6773","Lampanyctus photonotus","elongated","bathypelagic",40,1100,32.58,8.5,NA,"high",0.5
"6774","Rhinogobius giurinus","fusiform / normal","demersal",NA,NA,13.75,12.1,"subsistence fisheries","very high",0.5
"6775","Parioglossus raoi","elongated","reef-associated",NA,NA,10,3.5,NA,"unknown",0.5
"6776","Phycodurus eques","other","reef-associated",4,30,25.45,35,"of no interest","unknown",1
"6777","Johnius distinctus","fusiform / normal","benthopelagic",NA,NA,23.83,22,NA,"medium",0.5
"6778","Ammodytoides renniei","elongated","reef-associated",NA,NA,11.03,7.3,NA,"unknown",0.501
"6779","Atrobucca alcocki","elongated","benthopelagic",NA,105,23.45,21.6,NA,"medium",0.501
"6780","Bolinichthys pyrsobolus",NA,"pelagic-oceanic",60,778,34.01,9.2,NA,"high",0.5078
"6781","Pennahia ovata","fusiform / normal","benthopelagic",23,62,19.37,18,NA,"medium",0.5312
"6782","Coryphaenoides rudis","elongated","bathypelagic",600,2380,71.07,111,"of potential interest","medium",0.5
"6783","Coryphaenoides microps",NA,"bathypelagic",410,1025,46.47,41.3,NA,"medium",0.5
"6784","Chromogobius quadrivittatus","elongated","demersal",NA,NA,16.55,6.55,NA,"very high",0.625
"6785","Macrouroides inflaticeps","elongated","bathypelagic",747,4000,52.66,48,NA,"medium",1
"6786","Hymenogadus gracilis","elongated","bathypelagic",300,618,45.99,39.6,NA,"medium",0.75
"6787","Deltentosteus quadrimaculatus","fusiform / normal","demersal",NA,333,30.3,10.3,NA,"very high",0.75
"6788","Gadomus longifilis","elongated","bathypelagic",630,2165,38.2,30,NA,"medium",0.5001
"6789","Gobius fallax","fusiform / normal","demersal",0,32,19.9,9,NA,"very high",0.5
"6790","Gobius geniporus","elongated","demersal",NA,30,28.25,16,NA,"very high",0.5
"6791","Hygophum taaningi","fusiform / normal","bathypelagic",250,1000,26.38,6.1,NA,"high",0.502
"6792","Hypleurochilus bananensis","fusiform / normal","demersal",0,30,23.46,12,NA,"unknown",0.5005
"6793","Microlipophrys canevae","elongated","demersal",0,2,15.01,7.5,NA,"unknown",0.5078
"6794","Microlipophrys nigriceps","elongated","demersal",0,6,10,4.3,NA,"unknown",0.5078
"6795","Lipophrys trigloides","elongated","demersal",NA,NA,24.47,13,NA,"unknown",0.75
"6796","Lophodolos acanthognathus","short and / or deep","bathypelagic",650,1500,21.72,NA,NA,"unknown",0.75
"6797","Lycodonus flagellicauda","eel-like","bathydemersal",800,1993,36.38,19.9,NA,"unknown",0.5625
"6798","Nerophis maculatus","eel-like","demersal",NA,NA,23.58,30,NA,"unknown",0.625
"6799","Nezumia longebarbata","elongated","bathypelagic",1440,1710,46.2,40.5,NA,"medium",0.5
"6800","Notoscopelus bolini","elongated","pelagic-oceanic",0,1300,35.21,10.2,NA,"high",0.5156
"6801","Odondebuenia balearica","elongated","demersal",20,70,10,3.2,NA,"very high",1
"6802","Oedalechilus labeo","fusiform / normal","demersal",NA,NA,40.18,25,NA,"medium",1
"6803","Parablennius incognitus","fusiform / normal","demersal",0,2,16.21,8,NA,"unknown",0.5
"6804","Parablennius parvicornis","elongated","demersal",0,1,27.68,12,NA,"unknown",0.5
"6805","Parablennius ruber","fusiform / normal","demersal",2,20,22.6,14.1,NA,"unknown",0.5
"6806","Pteraclis carolinus","short and / or deep","pelagic-oceanic",NA,400,59.51,50,NA,"high",0.625
"6807","Symphodus melanocercus","fusiform / normal","reef-associated",1,25,23.67,14,NA,"very high",0.75
"6808","Zebrus zebrus","elongated","demersal",0,5,12.01,5.5,NA,"very high",1
"6809","Calamopteryx goslinei","elongated","reef-associated",9,55,12.47,6.35,"of no interest","unknown",0.625
"6810","Symphurus ommaspilus","short and / or deep","demersal",1,27,10,4.3,"of no interest",NA,0.5
"6811","Apogon robinsi","fusiform / normal","reef-associated",NA,NA,13.37,10.1,NA,"high",0.5
"6812","Dactyloscopus poeyi","elongated","demersal",0,9,10,6.7,NA,"unknown",0.5
"6813","Asquamiceps hjorti","elongated","bathypelagic",1000,2865,40.59,25.3,NA,"unknown",0.5625
"6814","Bajacalifornia calcarata","elongated","bathypelagic",350,1100,51.48,38,NA,"unknown",0.5078
"6815","Stathmonotus gymnodermis",NA,"reef-associated",0,5,10,4,NA,"unknown",0.5078
"6816","Starksia lepicoelia","elongated","reef-associated",8,20,10,3.4," ","unknown",0.5
"6817","Starksia nanodes","elongated","reef-associated",NA,NA,10,2.15,NA,"unknown",0.5
"6818","Starksia atlantica","elongated","reef-associated",1,8,10,2.5,NA,"unknown",0.5
"6819","Mentodus rostratus","elongated","bathypelagic",980,2100,22.34,32.2,NA,"unknown",0.5039
"6820","Mentodus perforatus","elongated","bathypelagic",1000,1450,17.78,24.9,NA,"unknown",0.5039
"6821","Malacoctenus boehlkei","fusiform / normal","reef-associated",5,70,10,6.4,NA,"unknown",0.5
"6822","Malacoctenus erdmani","elongated","reef-associated",NA,NA,10,3.8,NA,"unknown",0.5
"6823","Mentodus facilis",NA,"bathypelagic",680,2000,10,12.5,NA,"unknown",0.5039
"6824","Acanthemblemaria maria","elongated","reef-associated",NA,NA,10,5.1,NA,"unknown",0.5
"6825","Acanthemblemaria spinosa","elongated","reef-associated",1,12,21.66,3.1,NA,"unknown",0.5
"6826","Emblemariopsis occidentalis","elongated","reef-associated",NA,NA,10,1.92,NA,"unknown",0.5001
"6827","Cyclothone parapallida",NA,"bathypelagic",0,3140,17.53,6.65,NA,"unknown",0.5001
"6828","Neonesthes microcephalus","elongated","bathypelagic",600,1600,26.87,17.2,NA,"unknown",0.75
